approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
SMARCAL1,11102,SMARCAL1,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864,11,TRUE
SMARCE1,11109,SMARCE1,PMID_30476936,1,FALSE
SMC1A,11111,SMC1A,PMID_35325889 | PMID_30476936,2,TRUE
SMOC1,20318,SMOC1,PMID_30476936,1,FALSE
SNRPB,11153,SNRPB,PMID_30476936,1,FALSE
SOX11,11191,SOX11,PMID_30476936,1,FALSE
SOX17,18122,SOX17,PMID_35325889 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,9,TRUE
SOX18,11194,SOX18,PMID_35325889 | PMID_30476936,2,TRUE
SOX9,11204,SOX9,PMID_30476936 | PMID_33532864,2,TRUE
SPARC,11219,on,PMID_33664247,1,FALSE
SPECC1L,29022,SPECC1L,PMID_30476936,1,FALSE
SPINT2,11247,SPINT2,PMID_30476936,1,FALSE
SRCAP,16974,SRCAP,PMID_35325889 | PMID_30476936,2,TRUE
SRGAP1,17382,SRGAP1,PMID_33664247 | PMID_33532864 | PMID_35005812,3,TRUE
STAR,11359,STAR,PMID_35325889 | PMID_30476936,2,TRUE
STK11,11389,STK11,PMID_30476936,1,FALSE
STK39,17717,STK39,PMID_35325889,1,FALSE
STRA6,30650,STRA6,PMID_30476936,1,FALSE
STRADA,30172,STRADA,PMID_30476936,1,FALSE
STUB1,11427,STUB1,PMID_30476936,1,FALSE
STX16,11431,STX16,PMID_35325889 | PMID_30476936,2,TRUE
SUCLA2,11448,SUCLA2,PMID_30476936,1,FALSE
SUFU,16466,SUFU,PMID_34264297,1,FALSE
SUGCT,16001,SUGCT,PMID_30476936,1,FALSE
SYNPO,30672,SYNPO,PMID_35325889,1,FALSE
TACO1,24316,TACO1,PMID_35325889 | PMID_30476936,2,TRUE
TAPT1,26887,TAPT1,PMID_30476936,1,FALSE
TBC1D1,11578,TBC1D1,PMID_34264297 | PMID_33664247 | PMID_33532864 | PMID_35005812,4,TRUE
TBC1D20,16133,TBC1D20,PMID_30476936,1,FALSE
TBC1D24,29203,TBC1D24,PMID_30476936,1,FALSE
TBC1D32,21485,TBC1D32,PMID_29801666 | PMID_33532864 | PMID_35005812,3,TRUE
TBC1D8B,24715,TBC1D8B,PMID_34264297,1,FALSE
TBCE,11582,TBCE,PMID_30476936,1,FALSE
TBX1,11592,TBX1,PMID_33532864,1,FALSE
TBX18,11595,TBX18,PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_33532864 | PMID_35005812,7,TRUE
TBX3,11602,TBX3,PMID_34264297 | PMID_35005812,2,TRUE
TBX6,11605,TBX6,PMID_33532864,1,FALSE
TCTN1,26113,TCTN1,PMID_34264297 | PMID_33664247 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_35005812,6,TRUE
TCTN2,25774,TCTN2,PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864 | PMID_35005812,11,TRUE
TCTN3,24519,TCTN3,PMID_34264297 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_33532864 | PMID_35005812,6,TRUE
TERC,11727,TERC,PMID_30476936,1,FALSE
TFAP2A,11742,TFAP2A,PMID_35325889 | PMID_33664247 | PMID_30476936 | PMID_29801666 | PMID_33532864,5,TRUE
THBD,11784,THBD,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_31509055 | PMID_31822006 | PMID_31027891,6,TRUE
THOC6,28369,THOC6,PMID_30476936,1,FALSE
TMCO1,18188,TMCO1,PMID_30476936,1,FALSE
TMEM107,28128,TMEM107,PMID_34264297 | PMID_33532864 | PMID_35005812,3,TRUE
