approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
APOE,613,APOE,36370330; 35988586; 35602473; 34513758; 34311745; 33663537; 31092271; 30685233; 30340464; 30293348; 29398675; 26546829; 24349494; 24025644; 23922551; 23448537; 21689001; 21534236; 21127830; 19542737; 19424605; 19406964; 19282863; 19197098; 19056482; 18974580; 17918142; 15820086; 14750087; 11852253; 10903326; 10529627; 10405216,67,TRUE
APOH,616,APOH,15134466,1,FALSE
APOL1,618,APOL1,36920755; 36816427; 36747677; 36758113; 36763808; 36644347; 36623684; 36580463; 36510118; 36435682; 36310009; 36282916; 36227935; 36011371; 35894278; 35874595; 35738828; 35619972; 35497797; 35456398; 35474272; 35358541; 35244702; 35217848; 35232775; 35159001; 35190716; 35095882; 35120995; 35085711; 36630401; 34825347; 34766590; 34651582; 34545573; 34513880; 34440683; 34350953; 34316015; 34174036; 34089082; 33942030; 33854359; 33794228; 33767059; 33646395; 33585978; 33517446; 33377622; 33388403; 33340240; 33216373; 35368828; 33066744; 35372896; 32866949; 32894582; 32792490; 32854642; 32764138; 32764142; 32656538; 32675303; 32616495; 32530132; 32518871; 32526749; 32434723; 32404472; 32434471; 35372954; 32247630; 32253519; 32203225; 32080893; 32018194; 31929905; 31940609; 31797629; 31710572; 31732553; 31704668; 31704670; 31606237; 31580460; 31590185; 31601430; 31520189; 31532792; 31549630; 31480040; 31449181; 31383730; 31279426; 31337231; 31198534; 31217349; 31241995; 31182139; 31116068; 31085678; 31092297; 31023447; 30981401; 30982552; 30955946; 30733721; 30733285; 30557319; 30507707; 30450462; 30340464; 30343721; 30343724; 30369398; 30371607; 30152414; 30094013; 30052698; 29930940; 29885931; 29886044; 29777021; 29685497; 29531077; 29389775; 29423213; 29357411; 29277510; 29180397; 29110756; 29110757; 29110758; 29110759; 29110760; 29110761; 29110762; 29110763; 29123971; 28758155; 28732083; 28650456; 28699644; 28578979; 28611783; 28537557; 28481398; 28385815; 28391347; 28339911; 28298955; 28187045; 28218918; 28242845; 28143671; 27997071; 27932478; 27864431; 27821631; 27711207; 27599995; 27633872; 27638911; 27650483; 27576016; 27509583; 27509586; 27461219; 27190333; 27197912; 27148508; 27157696; 27023839; 26947522; 26901816; 26747051; 26776194; 26699492; 26634651; 26586272; 26553514; 26479055; 26430087; 26343748; 26180129; 26206798; 26215860; 26150607; 26152403; 26089538; 26106375; 26108665; 26112018; 26038529; 26049628; 25933006; 25993319; 25887069; 25924622; 25853332; 25859368; 25788523; 25809272; 25686569; 25573908; 25530085; 25249559; 25168832; 25081748; 25100047; 25012173; 25029429; 24948143; 24899058; 24903390; 24827777; 24658608; 24591025; 24551085; 24586071; 24379297; 24385048; 24311711; 24206458; 24130771; 24157943; 23768513; 23677244; 23516419; 23520206; 23438974; 23468032; 22973513; 22878977; 22956460; 22965004; 22832513; 22695330; 22614628; 22487534; 22495294; 22257798; 22357707; 22068337; 22135313; 21997398; 21931123; 21968013; 21849968; 21643783; 21691125; 21698141; 21641755; 21537348; 21429915; 21358326; 23082501; 20688934; 20635188; 20668430,411,TRUE
APOL2,619,APOL2,35474272; 34316015; 32764142; 25933006; 24385048,5,TRUE
APOL3,14868,APOL3,34316015; 32530132; 28339911; 26343748; 24658608; 24385048,7,TRUE
APOL4,14867,APOL4,34316015; 26343748,2,FALSE
APP,620,APP,33930186; 16801329; 10562308,5,TRUE
APPL1,24035,APPL1,36340038,1,FALSE
APRT,626,APRT,34267448; 33678741; 33707627; 33273797; 24940675; 22212387; 2443701,10,TRUE
AQP11,19940,AQP11,36420936; 30010847; 26719361,6,TRUE
