approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
BAP1,950,BAP1,OMIM:614327 (HP:0005584); OMIM:619762 (HP:0000126),2,TRUE
BAX,959,BAX,OMIM:114500 (HP:0005584),1,TRUE
BBIP1,28093,BBIP1,OMIM:615995 (HP:0003774 | HP:0000083),1,TRUE
BBS1,966,BBS1,OMIM:209900 (HP:0000077); OMIM:209900 (HP:0000077),2,TRUE
BBS10,26291,BBS10,OMIM:615987 (HP:0000083 | HP:0000107),1,TRUE
BBS12,26648,BBS12,OMIM:615989 (HP:0000072 | HP:0000800 | HP:0000126),1,TRUE
BBS2,967,BBS2,OMIM:616562 (HP:0012210),1,TRUE
BBS4,969,BBS4,OMIM:615982 (HP:0000077 | HP:0000107),1,TRUE
BBS9,30000,BBS9,OMIM:615986 (HP:0000083),1,TRUE
BCS1L,1020,BCS1L,OMIM:124000 (HP:0001970),1,TRUE
BICC1,19351,BICC1,OMIM:601331 (HP:0000110 | HP:0000076 | HP:0000083 | HP:0004719 | HP:0000800),1,TRUE
BICRA,4332,BICRA,OMIM:619325 (HP:0000085),1,TRUE
BMP4,1071,BMP4,OMIM:607932 (HP:0000089),1,TRUE
BMPER,24154,BMPER,OMIM:608022 (HP:0000085 | HP:0000800 | HP:0008643 | HP:0100880 | HP:0000105),1,TRUE
BNC2,30988,BNC2,OMIM:618612 (HP:0000076),1,TRUE
BRAF,1097,BRAF,OMIM:114500 (HP:0005584); OMIM:115150 (HP:0000126),2,TRUE
BRCA2,1101,BRCA2,OMIM:194070 (HP:0002667); OMIM:194070 (HP:0002667),2,TRUE
BSCL2,15832,BSCL2,OMIM:269700 (HP:0000787),1,TRUE
BSND,16512,BSND,OMIM:602522 (HP:0005576 | HP:0000083 | HP:0004737 | HP:0005565 | HP:0012213 | HP:0004727 | HP:0000103); OMIM:602522 (HP:0005576 | HP:0000083 | HP:0004737 | HP:0005565 | HP:0012213 | HP:0004727 | HP:0000103),2,TRUE
BUB1,1148,BUB1,OMIM:114500 (HP:0005584),1,TRUE
BUB1B,1149,BUB1B,OMIM:114500 (HP:0005584); OMIM:257300 (HP:0002667 | HP:0000003 | HP:0000107),2,TRUE
C1QA,1241,C1QA,OMIM:613652 (HP:0000793),1,TRUE
C1QBP,1243,C1QBP,OMIM:617713 (HP:0000100),1,TRUE
C1S,1247,C1S,OMIM:617174 (HP:0002667),1,TRUE
C2CD3,24564,C2CD3,OMIM:615948 (HP:0012583),1,TRUE
C3,1318,C3,OMIM:612925 (HP:0003774 | HP:0005575 | HP:0000790 | HP:0001919 | HP:0100519); OMIM:613779 (HP:0000100 | HP:0000793 | HP:0000083),2,TRUE
C4A,1323,C4A,OMIM:614380 (HP:0000099),1,TRUE
CA2,1373,CA2,OMIM:259730 (HP:0008341),1,TRUE
